scenario,scenario_label,T,w_cost,w_time,w_env,x_elevator_mt,x_rocket_mt,rocket_launches,cost_trillion_usd,physical_emission_billion_tco2,environment_damage_billion,direct_site_environment_billion,nonlinear_environment_billion,objective_value,d_cost_plus,d_time_plus,d_environment_plus,lambda_cost,lambda_emission,beta_pressure,a_e,a_r
cost_schedule_priority,Cost + Schedule Priority,93,0.45,0.4,0.15,44.9466625,55.05333749999999,449415,62.309187199750674,0.6454202832305732,0.7057041677313307,0.42159452986495477,0.10072725486637596,0.12242604193283269,0.0,18.0,0.10570416773133073,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,94,0.45,0.4,0.15,45.42992500000001,54.570075,445470,61.82554094337643,0.6432041495720201,0.7028685739003862,0.41774213041487684,0.09977234948550923,0.1270504768084299,0.0,19.0,0.10286857390038617,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,95,0.45,0.4,0.15,45.91331000000001,54.08668999999999,441524,60.94364085703034,0.6391226373672927,0.698986133342469,0.4124042126252863,0.09925561591718263,0.1314132000022839,0.0,20.0,0.09898613334246897,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,96,0.45,0.4,0.15,46.39657249999999,53.6034275,437579,60.191290285920566,0.6356240331350299,0.6941952230824752,0.40732734758267164,0.09756985969980358,0.13554880577061879,0.0,21.0,0.09419522308247519,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,97,0.45,0.4,0.15,46.87995750000001,53.1200425,433633,59.71772269015541,0.6334563179749009,0.6914337812074662,0.4035178806052626,0.09664567400220353,0.1401917786351999,0.0,22.0,0.09143378120746626,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,98,0.45,0.4,0.15,47.363342500000016,52.63665749999999,429687,58.97449718135271,0.6299984520754587,0.68670139127858,0.3984759692181047,0.09498298466047526,0.14434201448631168,0.0,23.0,0.08670139127858001,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,99,0.45,0.4,0.15,47.84660500000001,52.153394999999996,425742,58.23790760908579,0.6265695938746986,0.6820187311731478,0.3934621304592787,0.093342452313869,0.148504682793287,0.0,24.0,0.08201873117314784,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,100,0.45,0.4,0.15,48.329867500000006,51.6701325,421797,57.38027852838656,0.622590003498306,0.6783418055030986,0.388218596366803,0.09293734973629562,0.152918784709108,0.0,25.0,0.07834180550309866,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,101,0.45,0.4,0.15,48.81312999999998,51.18687,417852,56.919265321974144,0.6204828467833123,0.6756667940933812,0.38446679682143864,0.09204242687194258,0.15758336519001195,0.0,26.0,0.07566679409338117,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,102,0.45,0.4,0.15,49.29639249999998,50.7036075,413907,56.19553765182864,0.6171104542085482,0.6710583148509759,0.3795066204956598,0.09042241295531618,0.161764578712744,0.0,27.0,0.07105831485097591,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,103,0.45,0.4,0.15,49.77977749999997,50.220222500000006,409961,55.47832044713071,0.613766741930355,0.6664861961932087,0.3745732350958463,0.08881146889736244,0.16595488238163553,0.0,28.0,0.06648619619320872,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,104,0.45,0.4,0.15,50.26303999999999,49.736959999999996,406016,55.027098269415134,0.6117073759581482,0.6638816752488472,0.37086504266633347,0.08794342938251379,0.1706370854788785,0.0,29.0,0.06388167524884725,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,105,0.45,0.4,0.15,50.5970975,49.402902499999996,403289,54.37379037273118,0.6086524645848221,0.6611044836584441,0.3669675423914118,0.08770078346703222,0.17527612091461103,0.0,30.0,0.06110448365844412,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,50,0.1,0.05,0.85,24.1647825,75.83521750000001,619063,98.16887270837502,0.8096019911180564,0.888077498937704,0.6473024052874022,0.14218278105030177,0.4081097901617475,0.0,0.0,0.28807749893770407,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,51,0.1,0.05,0.85,24.648045000000007,75.35195499999999,615118,97.56732242622374,0.8068538891146712,0.8830007748316449,0.6423358469431775,0.14010090428846733,0.40091776434483023,0.0,0.0,0.2830007748316449,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,52,0.1,0.05,0.85,25.13143,74.86856999999999,611172,96.64459883108829,0.8026707250552175,0.8756856452884589,0.635950543561219,0.1371988673272398,0.3905546641586502,0.0,0.0,0.27568564528845896,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,53,0.1,0.05,0.85,25.614692500000007,74.3853075,607227,95.72171991954706,0.7984845391819374,0.8687142044391545,0.6295632995467011,0.13464295949245328,0.3806784562888022,0.0,0.0,0.2687142044391545,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,54,0.1,0.05,0.85,26.09807750000001,73.9019225,603281,95.13028064351214,0.7957809257915135,0.8639659261351296,0.6246745551906255,0.132811214744504,0.3739517286914336,0.0,0.0,0.2639659261351296,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,55,0.1,0.05,0.85,26.58134,73.41865999999999,599336,94.05646949722076,0.7909361932388749,0.8584761447924825,0.6186385124614268,0.1313857651310557,0.3661745384560169,0.0,0.0,0.2584761447924825,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,56,0.1,0.05,0.85,27.0646025,72.9353975,595391,93.14453090989487,0.7867928294895726,0.8517967206842473,0.6123157251194472,0.12905741736480006,0.35671202096935034,0.0,0.0,0.2517967206842473,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,57,0.1,0.05,0.85,27.547864999999998,72.452135,591446,92.56252574688922,0.7841308624552655,0.8473537412455618,0.6074912003739256,0.12746725167163636,0.3504178000978793,0.0,0.0,0.24735374124556186,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,58,0.1,0.05,0.85,28.031127499999997,71.96887249999999,587501,91.66281058178545,0.780038883262159,0.8407908915080106,0.601275968577599,0.12514792273041156,0.34112042963634837,0.0,0.0,0.24079089150801058,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,59,0.1,0.05,0.85,28.514512499999995,71.4854875,583555,90.770818530029,0.7759786018055044,0.8343281862590718,0.5951464616183769,0.12284251364069486,0.3319649305336851,0.0,0.0,0.2343281862590718,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,60,0.1,0.05,0.85,28.997897499999993,71.00210249999998,579609,89.7182366447447,0.7712154772635735,0.8291966816318036,0.5892088778133683,0.12167638201843531,0.3246952989783885,0.0,0.0,0.22919668163180362,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,61,0.1,0.05,0.85,29.48116,70.51884,575664,89.14958365247571,0.7686130027653786,0.8250029334340612,0.5844800065655097,0.12023979406855148,0.3187541556982534,0.0,0.0,0.2250029334340612,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,62,0.1,0.05,0.85,29.964422500000005,70.0355775,571719,88.27319777979663,0.7646169601645916,0.818684665000683,0.5784662255477114,0.11796359565297153,0.30980327541763436,0.0,0.0,0.21868466500068307,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,63,0.1,0.05,0.85,30.447685000000003,69.55231500000001,567774,87.40397182574554,0.7606505356157306,0.8124531109080833,0.5725350007180965,0.11569155538998674,0.30097524045311796,0.0,0.0,0.21245311090808328,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,64,0.1,0.05,0.85,30.931070000000005,69.06893,563828,86.84575630896282,0.7580951082675027,0.8084480098147774,0.5678951829638952,0.11435406125088207,0.2953013472376013,0.0,0.0,0.2084480098147774,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,65,0.1,0.05,0.85,31.414332500000004,68.5856675,559883,85.8118471538119,0.7534061196422349,0.8036121567474447,0.5620438361470026,0.11339784400044202,0.28845055539221337,0.0,0.0,0.2036121567474447,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,66,0.1,0.05,0.85,31.897717500000006,68.1022825,555937,84.95600892745932,0.7494947207509152,0.7975264678270928,0.5562107024003038,0.11117307802678901,0.27982916275504816,0.0,0.0,0.19752646782709282,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,67,0.1,0.05,0.85,32.38098,67.61902,551992,84.40860942579567,0.7469884476715595,0.7936732563271913,0.5516694013202195,0.10988945660697184,0.27437044646352104,0.0,0.0,0.19367325632719135,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,68,0.1,0.05,0.85,32.864242499999996,67.1357575,548047,83.56141491752516,0.7431137596720016,0.7877048718162791,0.5459167228304581,0.10770203958582109,0.26591523507306214,0.0,0.0,0.18770487181627915,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,69,0.1,0.05,0.85,33.347505,66.65249499999999,544102,82.71909827272799,0.7392589317234957,0.7818334480338922,0.5402259223266541,0.10554970530723809,0.25759738471468063,0.0,0.0,0.18183344803389223,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,70,0.1,0.05,0.85,33.83076749999999,66.16923249999999,540157,81.705055425051,0.7346477162402728,0.7772629706312145,0.5344560718233936,0.10477736740782095,0.25112254172755394,0.0,0.0,0.17726297063121454,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,71,0.1,0.05,0.85,34.31403000000001,65.68597000000001,536212,81.17129862413312,0.732203832899383,0.7735333754840231,0.5300403432958551,0.10349178978816784,0.24583894860236613,0.0,0.0,0.17353337548402314,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,72,0.1,0.05,0.85,34.79741500000001,65.202585,532266,80.34072848819973,0.7283974961628958,0.7678022663485419,0.5244324230156981,0.10139639013284371,0.237719877327101,0.0,0.0,0.1678022663485419,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,73,0.1,0.05,0.85,35.2806775,64.71932249999999,528321,79.51447875339599,0.7246087565779257,0.7621640790450028,0.5188826804966009,0.09933623434840183,0.22973244531375403,0.0,0.0,0.16216407904500285,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,74,0.1,0.05,0.85,35.76406250000001,64.2359375,524375,78.99067702023908,0.7222108685919402,0.7585362630803804,0.5145737401031476,0.09804514797723274,0.22459303936387218,0.0,0.0,0.15853626308038038,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,75,0.1,0.05,0.85,36.247325000000004,63.752674999999996,520430,77.99406583376728,0.7176700114444406,0.7541914706825905,0.5088745098853851,0.09742787479720533,0.2184379168003366,0.0,0.0,0.15419147068259054,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,76,0.1,0.05,0.85,36.73058750000001,63.26941250000001,516485,77.17857166967057,0.71392576293723,0.7486981301049066,0.5033961413747269,0.09544119173017965,0.21132235098195104,0.0,1.0,0.14869813010490662,0.005,0.003,2.5e-11,0.9,0.98
environment_priority,Environment Priority,77,0.1,0.05,0.85,37.213849999999994,62.78614999999999,512540,76.66406597809413,0.7115710079847004,0.7451691327515361,0.4991900955452559,0.0941465292062802,0.20698960473134279,0.0,2.0,0.1451691327515361,0.005,0.003,2.5e-11,0.9,0.98
